tracks_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,duration_min,labels
3v6sBj3swihU8pXQQHhDZo,0.611,0.614,5,-8.815,0,0.0672,0.0169,0.000794,0.753,0.52,128.05,4,3.25,2
7KCWmFdw0TzoJbKtqRRzJO,0.638,0.781,4,-6.848,0,0.0285,0.0118,0.00953,0.349,0.25,122.985,4,3.2440166666666665,1
2CY92qejUrhyPUASawNVRr,0.56,0.81,0,-8.029,0,0.0872,0.0071,7.93e-06,0.241,0.247,170.044,4,3.6262166666666666,1
11BPfwVbB7vok7KfjBeW4k,0.525,0.699,9,-4.571,1,0.0353,0.0178,8.8e-05,0.0888,0.199,92.011,4,7.3913,0
3yUJKPsjvThlcQWTS9ttYx,0.367,0.771,9,-5.863,1,0.106,0.365,1.47e-06,0.0965,0.163,115.917,4,3.7643666666666666,1
41MOCUNOgWtaYBFUsGnpZ5,0.572,0.837,5,-7.876,1,0.0367,0.0197,0.0,0.163,0.627,100.343,4,2.782,1
5JP1cMCDxX4k2gwfSgt8Lf,0.725,0.687,3,-6.465,1,0.0596,0.694,0.000369,0.231,0.77,96.005,4,3.2188833333333333,1
73xsMXuRNB3yqLeNc7NXBq,0.675,0.547,0,-4.999,1,0.0481,0.114,7.97e-05,0.0678,0.365,75.003,4,4.216666666666667,1
6TwrBbgTaB5gpl06YQoRKy,0.516,0.692,7,-4.842,1,0.0279,0.0875,0.0093,0.09,0.181,83.571,4,3.6031166666666667,0
5SDEirHg6Y8fCYuKMnAaC5,0.548,0.509,9,-7.937,1,0.0288,0.261,0.702,0.079,0.484,78.974,4,3.8722166666666666,0
37tp9qtF4YQF0nvaQ3ryB7,0.559,0.933,7,-4.233,0,0.361,0.327,0.226,0.356,0.234,182.912,4,2.0605,2
5ZWMcomAviWuMGZWbBxmGd,0.817,0.695,8,-7.391,1,0.0497,0.0299,0.00183,0.0956,0.404,91.971,4,4.440216666666666,1
1zDHb1p9J2SUVGqttkIwlW,0.807,0.709,1,-7.476,0,0.193,0.626,0.0,0.296,0.537,96.006,4,3.875,1
03ibPDUYi7g1vOC9eJGrsy,0.818,0.76,7,-4.273,1,0.0673,0.049,4.74e-06,0.112,0.508,85.996,4,3.8017833333333333,1
1Yt78wXs4KUeMrOxZu8dQT,0.774,0.665,10,-5.637,0,0.0721,0.00401,0.0,0.455,0.512,97.522,4,3.36545,1
4grBhZ71RTsPWgykqlUBFA,0.657,0.813,10,-4.253,1,0.0431,0.187,0.0,0.112,0.864,105.64,4,2.977333333333333,1
4KSQ9el0QgTKKie5oCtKLe,0.608,0.945,11,-3.858,1,0.0483,0.00433,0.0,0.0773,0.682,115.933,4,3.00355,2
6P0dI2yAf2cmg4UrCcStwE,0.588,0.894,3,-5.564,1,0.0403,0.000176,0.23,0.141,0.552,123.031,4,3.9642166666666667,2
24kirWnsEEyGgbl2NuhSVz,0.498,0.727,4,-6.116,1,0.0308,0.0562,0.0,0.609,0.441,79.994,4,3.5433333333333334,1
2RKmGDTq840oLpKC0WOaCr,0.629,0.855,10,-5.593,1,0.0568,0.108,0.0,0.198,0.963,96.039,4,3.0733333333333333,1
4R06uQw0yBQXWmatdIOlch,0.523,0.544,7,-6.585,0,0.0578,0.465,0.0,0.121,0.268,75.053,4,4.50425,0
2G1T3kqYNyhMjXbqZ4e3vX,0.609,0.861,4,-5.26,1,0.0927,0.00599,0.0,0.0924,0.53,139.914,4,3.39445,2
6t6bOh1jmVcRke7rmzAegb,0.616,0.657,7,-5.375,1,0.0649,0.117,0.0,0.11,0.927,79.919,4,3.4177666666666666,1
2r12KCHNv0p7JQJsGt3vYK,0.604,0.806,7,-6.416,0,0.0467,0.0126,0.00803,0.176,0.0894,131.95,4,3.6657166666666665,2
4sofJiicQwKsRo3S1vpt39,0.744,0.816,11,-3.933,1,0.0372,0.144,8.51e-06,0.0902,0.748,120.062,4,2.4,1
2dyrLrVopYKGc3H9oOYSmZ,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.262,0.468,124.076,4,2.9838666666666667,2
7AxA87dIJ1FF4l1BQ98ZCZ,0.52,0.907,1,-3.614,1,0.3,0.00373,5.28e-06,0.0906,0.219,132.046,4,2.35285,2
5FDdviWQzhw7NWH2TiDl9d,0.7,0.782,3,-4.631,1,0.0542,0.449,0.0,0.143,0.68,124.969,4,2.8316833333333333,1
0kJUHCpOr6CFU15kEKAgVF,0.787,0.462,8,-7.985,1,0.0908,0.724,0.000187,0.102,0.554,86.994,4,3.2874333333333334,0
5WXSmZUK7MAtkcKoBPFyHm,0.456,0.872,4,-5.87,1,0.0434,0.00264,0.000529,0.176,0.69,157.678,4,3.0095,2
3oqztHfES8jYMyrxPMzWwc,0.703,0.624,7,-6.228,1,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,4,3.2531833333333333,1
1zZIVe9x0JhdhpuQjLTjIM,0.567,0.542,2,-6.64,1,0.0309,0.309,0.000342,0.0734,0.229,125.16,4,4.23115,0
3tzlgaWjqZJX0fq2hiQW62,0.57,0.368,0,-9.128,1,0.0329,0.0514,0.0,0.108,0.136,139.937,4,4.444466666666667,0
1i6gUYGzJF7XMukcwSwJ7k,0.704,0.686,7,-5.096,1,0.0439,0.733,4.8e-05,0.0977,0.427,101.05,4,4.409933333333333,1
6kjeIqdUFA5p6GCtW8PzF3,0.681,0.665,8,-9.115,1,0.0529,0.00296,0.00652,0.154,0.832,116.047,4,3.2931,2
6S5mz361HiZquQleGlI3aD,0.453,0.37,11,-8.671,1,0.0304,0.937,0.0,0.234,0.244,126.45,4,2.798216666666667,0
2NEBP8SXEqwZt2PRdPXXuy,0.764,0.587,5,-7.002,0,0.0298,0.0721,6.45e-06,0.094,0.494,89.98,4,3.826216666666667,1
2oMfpjxWmnLYcgbqkeAjfp,0.755,0.619,11,-6.829,0,0.0362,0.0246,0.0,0.0739,0.398,155.046,4,3.6037833333333333,1
69DR48pXzSabFUfQfDDJDb,0.545,0.818,9,-6.38,1,0.0541,0.0369,0.0,0.101,0.679,109.019,3,3.751116666666667,2
5PNcJn4oFNvlRfrZBHfqWh,0.611,0.782,8,-4.989,1,0.0474,0.147,0.0,0.115,0.915,101.319,4,3.1342166666666667,1
4whYDpJ5XVQpmvecbEHP5Q,0.557,0.737,3,-5.75,1,0.0476,0.0142,0.0,0.314,0.817,158.05,4,3.4031166666666666,1
3NgcaTIgVh77DdwAInp996,0.711,0.696,7,-5.05,1,0.0869,0.16,0.0,0.17,0.694,80.512,4,3.1588833333333333,1
6NKhY15Y8QaN67bBGxRA2b,0.711,0.868,0,-5.818,1,0.0392,0.256,0.396,0.116,0.944,105.799,4,2.4388833333333335,1
0El2Zyt68nYySFDG87hZgM,0.476,0.952,4,-3.783,1,0.041,0.0981,2.91e-06,0.438,0.849,170.062,4,3.07845,2
56eGOeSsqdg3FLxdo83TwV,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975,4,3.3073333333333332,0
57gS5wJqIH6sbtBIIiioNY,0.667,0.886,4,-5.12,1,0.0387,0.0265,0.0,0.0759,0.948,146.076,4,3.0491166666666665,1
5qCddjdPnWUfv3ijlcSXnJ,0.724,0.712,4,-7.28,1,0.0371,0.0625,0.000136,0.103,0.741,101.012,4,3.57595,1
6dnco8haegnJYtylV26cBq,0.617,0.411,8,-12.075,1,0.0373,0.675,1.04e-06,0.0886,0.738,203.934,4,4.199333333333334,1
08tq1XcHwVt5PHXUo87i0D,0.646,0.781,1,-4.616,1,0.0313,0.208,0.0,0.125,0.565,94.975,4,2.832,1
1mffZcVGwEqf9Xbdww0kCD,0.66,0.875,1,-5.792,0,0.0488,0.034,0.0,0.233,0.767,92.006,4,3.3577833333333333,1
05AURmTdmCpIaBcww1HrGn,0.751,0.612,2,-6.676,1,0.334,0.106,0.0,0.24,0.767,149.947,4,3.417333333333333,1
483beWfErq5MZAvC0fJ7cr,0.644,0.89,2,-6.993,1,0.0332,0.0246,2.57e-05,0.103,0.619,112.027,4,3.5731166666666665,1
7JjymfuNMxQgOQJ4mGOdbg,0.731,0.674,10,-5.018,0,0.0397,0.14,0.0,0.114,0.623,99.05,4,2.78,1
