track_id,track_popularity,artist_popularity
0d28khcov6AiegSCpG5TuT,85,77
1foMv2HQwfQ2vntFf9HFeG,79,77
64dLd6rVqDLtkXFYrEUHIU,69,77
0q6LuUqGLUiCPP1cbdwFs3,79,77
7yMiX7n9SBvadzox8T5jzT,72,77
4Hff1IjRbLGeLgFgxvHflk,77,77
2c3KCGq6UojB2c8UAFrRON,67,77
3lIxtCaROdRDuTnNBDm3n2,74,77
2W3ZpQg9i6lE6kmHbcdu9N,67,77
2bfGNzdiRa1jXZRdfssSzR,72,77
48UPSzbZjgc449aqz8bxox,84,80
3d9DChrdc6BOeFsbrZ3Is0,84,80
3ZOEytgrvLwQaqXreDs2Jx,84,80
1G391cbiT3v3Cywg8T7DM1,83,80
64BbK9SFKH2jk86U3dGj2P,83,80
2aibwv5hGXSgw7Yru8IYTO,81,80
10Nmj3JCNoMeBQ87uw5j8k,80,80
1f2V8U1BiWaC9aJWmpOARe,78,80
0uppYCG86ajpV2hSR3dJJ0,76,80
2oaK4JLVnmRGIO9ytBE1bt,75,80
4RY96Asd9IefaL3X4LOLZ8,77,81
5D2mYZuzcgjpchVY1pmTPh,82,81
4nva9EpKntUTs6CRSGBCn9,80,81
2D1hlMwWWXpkc3CZJ5U351,71,81
2I9foKseoFQh07p6sD2voE,74,81
69bHJ9qs5FrUJbKP8xU8uZ,76,81
41bIQPBE1lFN0mmw6Lmssz,76,81
7rK0iM6jwuo1oizdx8suQA,68,88
7JeKXMQKm6GoLGTkNy2jZ0,66,81
1wI3UvluGGKUeFeVFsP9do,63,81
3VqHuw0wFlIHcIPWkhIbdQ,78,80
2CtemffYhT0DJWcT1XW047,72,80
54bm2e3tk8cliUz3VSdCPZ,74,80
3ZpWy5rBZv2aLQAldnmTsP,67,80
7lwvxYumAEo10lzAplRGXM,67,80
0LAcM6I7ijW4VVW0aytl1t,72,80
51YZAJhOwIC5Gg3jMbAmhZ,73,80
3pwmJJRlr8nXNN9PFD18np,53,80
5UaDi8KzCGJqFfVAOBfXhi,69,80
6ZCh9hBeFzMIPycRnyPqZT,46,80
3AJwUDP919kvQ9QcozQPxg,91,86
1mea3bSkSGXuIRvnydlB5b,88,86
7D0RhFcb3CrfPuTJ0obrod,87,86
6RUKPb4LETWmmr3iAEQktW,87,78
75JFxkI2RXiU7L9VXzMkle,86,86
0FDzzruyVECATHXKHFs9eJ,87,86
6nek1Nin9q48AVZcWs9e9D,86,86
3RiPr603aXAoi4GHyXx0uy,85,86
46HNZY1i7O6jwTA7Slo2PI,82,86
7LVHVU3tWfcxj5aiPFEW4Q,85,86
2Foc5Q5nqNiosCNqttzHof,83,79
0DiWol3AO6WpXZgp0goxAV,79,79
2cGxRwrMyEAp8dEbuZaVv6,77,79
69kOkLUCkxIZYexIgSG8rq,76,79
1pKYYY0dkg23sQQXi0Q5zN,74,79
5W3cjX2J3tjhG8zb6u0qHn,73,79
1NeLwFETswx8Fzxl2AFl91,71,79
5CMjjywI0eZMixPeqNd75R,70,79
2LD2gT7gwAurzdQDQtILds,69,79
2VEZx7NWsZ1D0eJ4uv5Fym,67,79
60a0Rd6pjrkxjPbaKzXjfq,88,83
2nLtzopw4rPReszdYBJU6h,87,83
18lR4BzEs7e3qzc0KVkTpU,83,83
5sNESr6pQfIhL3krM8CtZn,81,82
3K4HG9evC7dg3N0R9cYqk4,82,83
4Yf5bqU3NK4kNOypcrLYwU,82,83
0UFDKFqW2oGspYeYqo9wjA,80,83
1Vej0qeQ3ioKwpI6FUbRv1,78,83
57BrRMwf9LrcmuOsyGilwr,79,83
7oVEtyuv9NBmnytsCIsY5I,77,83
70LcF31zb1H0PyJoS1Sx1r,89,79
10nyNJ6zNy2YVYLrcwLccB,84,79
63OQupATfueTdZMWTxW03A,78,79
2a1iMaoWQ5MnvLFBDv4qkf,78,79
0z1o5L7HJx562xZSATcIpY,74,79
4wajJ1o7jWIg62YqpkHC7S,74,79
0YJ9FWWHn9EfnN0lHwbzvV,76,79
73CKjW3vsUXRpy3NnX4H7F,74,79
1dyTcli07c77mtQK3ahUZR,75,79
35YyxFpE0ZTOoqFx5bADW8,71,79
2zYzyRzz6pRmhPzyfMEC8s,86,79
57bgtoPSgt236HzfBOd8kj,86,79
08mG3Y1vljYA6bvDt4Wqkj,85,79
2SiXAy7TuUkycRVbbWDEpo,84,79
7LRMbd3LEoV5wZJvXT1Lwb,80,79
69QHm3pustz01CJRwdo20z,76,79
2d4e45fmUnguxh6yqC7gNT,75,79
0C80GCp0mMuBzLf3EAXqxv,75,79
7nemcVsXVFZF01iqpIIo2Y,74,79
4feXJ5IC3avXsVW9WNFSag,72,79
2H1047e0oMSj10dgp7p2VG,78,78
0YJW8OXw8G1xDfkzaID3vv,69,78
0xmjwnQ3FNE6HuWCt2nHdZ,82,78
3JA9Jsuxr4xgHXEawAdCp4,79,78
1zLBsSVxETQOfINOLYvT5m,74,78
6btyEL6NwUa97Nex9cZFvo,71,78
2yEHX6MqAXPyD7bm47A2Br,71,82
6wOYnPq1hPihRepcDClPUw,71,78
5NyS3oxTlos3Agl2YtZwrC,66,78
31rWRFlQyMpmF6hfN4vUFj,55,78
7J1uxwnxfQLu4APicE5Rnj,80,80
5BKKy9fIJL5uM9fz1SnqyP,79,80
3BovdzfaX4jb5KFQwoPfAw,78,80
5T7ywazdGIydr6JCW6t02j,74,80
7oOOI85fVQvVnK5ynNMdW7,78,80
46eu3SBuFCXWsPT39Yg3tJ,77,80
3wuCCNCnBhJlwkIJTBZFiv,75,80
4jnFqNWeJCeCRHc4HCdxfd,75,80
76HKOVWqsEg26SECtmw7Rz,67,80
48td6xvpokdYwvbl3JIiXP,73,80
1mKXFLRA179hdOWQBwUk9e,84,79
6sZo5nJIsFWXefRCCexpx0,74,79
1gv4xPanImH17bKZ9rOveR,81,79
1jF7IL57ayN4Ity3jQqGu0,80,79
0JiY190vktuhSGN6aqJdrt,79,79
0Qh38w01QRXK6KHIv0e3hb,78,79
0UKUfxIkDAMZz7hMdiVX3m,68,79
4FWbsd91QSvgr1dSWwW51e,81,79
2hns6Dv29Yrg68AVTJiAyA,77,79
1QNqrsNQ1JVLEwncov3lEY,71,79
561jH07mF1jHuk7KlaeF0s,90,88
7lQ8MOhq6IN2w8EYcFNSUk,89,88
3yfqSUWxFvZELEM4PmlwIR,88,88
4woTEX1wYOTGDqNXuavlRC,87,88
4xkOaSrkexMciUUogZKVTS,86,88
3UmaczJpikHgJFyBTAJVoz,84,88
15JINEqzVMv3SvJTAXAKED,85,88
7FIWs0pqAYbP91WWM0vlTQ,84,88
3CpoeW0cZSDzIRv5z34F87,79,88
7Ie9W94M7OjPoZVV216Xus,81,88
60nZcImufyMA1MKQY3dcCH,83,78
5unjCay0kUjuej5ebn4nS4,72,78
5bcTCxgc7xVfSaMV3RuVke,78,84
3S68RFe1lsdCdTMPIMJM3X,74,78
6clzeGvi1CFioMOolbAOlX,64,84
7Bar1kLTmsRmH6FCKKMEyU,72,87
1MJErNPIQUoEMu4YUUmecm,72,85
7z4xW9WY86uH3gd1V9pfCM,68,83
0DGTcMqvVR7fmBXgiG6jz4,67,78
0iFOG4Ki9aDmJUYUFHQlPG,69,78
0u2P5u6lvoDfwTYjAADbn4,90,88
10xV5l9nhLvFpR8mqzs0bL,82,81
7vGuf3Y35N4wmASOKLUVVU,82,81
5Z3GHaZ6ec9bsiI5BenrbY,82,82
7FGq80cy8juXBCD2nrqdWU,81,69
6zeeWid2sgw4lap2jV61PZ,76,82
152lZdxL1OR0ZMW6KquMif,79,82
5bgwqaRSS3M8WHWruHgSL5,77,82
70eFcWOvlMObDhURTqT4Fv,76,87
