video_id,comment_count,like_count,view_count,rate_v_c,rate_v_l,rate_c_l,outlier,comment_bin,like_bin,view_bin
HyHNuVaZJ-k,174184,6720590,772217311,-0.033,-0.037,-0.039,1,4,4,4
yYDmaexVHic,34051,1266171,83017330,-0.043,-0.037,-0.039,1,4,4,3
qJa-VFwPpYA,7888,334125,13248765,-0.047,-0.037,-0.039,1,3,3,2
04mfKJWDSzI,56132,1901527,226735388,-0.035,-0.037,-0.039,1,4,4,4
1V_xRb0x9aw,162670,6872514,704113829,-0.033,-0.037,-0.039,1,4,4,4
uAOR6ib95kQ,73617,1994647,279068557,-0.036,-0.037,-0.039,1,4,4,4
BONNm0F7Tto,501,41147,3147464,-0.023,-0.037,-0.039,1,1,1,1
f8NwLXYIHS4,364,25520,1533828,-0.034,-0.037,-0.039,1,1,1,1
S03T47hapAc,21983,889147,37679166,-0.047,-0.037,-0.039,1,4,4,3
cLnkQAeMbIM,39860,1492906,164347300,-0.035,-0.037,-0.039,1,4,4,4
YlUKcNNmywk,124372,4727215,1092782191,-0.01,-0.036,-0.039,1,4,4,4
GLvohMXgcBo,34069,1334287,269244374,-0.015,-0.036,-0.039,1,4,4,4
8DyziWtkfBw,34066,1897144,364881580,-0.0,-0.036,-0.039,1,4,4,4
mzJj5-lubeM,37936,2057975,479361954,0.01,-0.036,-0.039,1,4,4,4
rn_YodiJO6k,61980,3367720,728096583,0.005,-0.036,-0.039,1,4,4,4
yuFI5KSPAt4,37709,1336288,333350610,-0.01,-0.036,-0.039,1,4,4,4
Sb5aq5HcS1A,49875,1542745,346140599,-0.02,-0.036,-0.039,1,4,4,4
JnfyjwChuNU,20546,834153,186444596,-0.009,-0.036,-0.039,1,4,4,4
Mr_uHJPUlO8,16636,466731,90680162,-0.028,-0.036,-0.039,1,4,3,4
Q0oIoR9mLwc,57583,2191658,470259946,-0.013,-0.036,-0.039,1,4,4,4
5qm8PH4xAss,311057,11654438,1891431736,-0.024,-0.037,-0.039,1,4,4,4
SRcnnId15BA,115245,5372656,897053374,-0.015,-0.037,-0.039,1,4,4,4
GllEDACUbNo,43890,2734975,512971083,0.005,-0.036,-0.039,1,4,4,4
UDApZhXTpH8,63040,3669875,625281195,-0.004,-0.037,-0.039,1,4,4,4
5D3crqpClPY,88980,3045273,488264756,-0.027,-0.037,-0.039,1,4,4,4
GNqYWkiBHHw,12338,428419,45351094,-0.037,-0.037,-0.039,1,3,3,3
cDMhlvbOFaM,56560,3031951,553360576,-0.005,-0.037,-0.039,1,4,4,4
Zl64MRAqQxk,9444,279994,7304938,-0.052,-0.037,-0.039,1,3,3,2
_vUC0-V2k1E,24,840,75031,-0.04,-0.037,-0.039,1,0,0,0
UQNLDwQYDDg,53,7162,370069,-0.02,-0.037,-0.039,1,0,0,0
CD-E-LDc384,84020,3089695,618890292,-0.018,-0.036,-0.039,1,4,4,4
tAGnKpE4NCI,143972,5548911,1302931868,-0.009,-0.036,-0.039,1,4,4,4
E0ozmU9cJDg,6186,507754,41798298,-0.021,-0.037,-0.039,1,3,4,3
wsrvmNtWU4E,13049,476145,123616561,-0.007,-0.036,-0.039,1,3,3,4
Ckom3gf57Yw,48141,1873195,442079023,-0.008,-0.036,-0.039,1,4,4,4
oTS5cPTqFWM,1,56,2172,-0.05,-0.037,-0.039,1,0,0,0
B_HSa1dEL9s,2914,497771,51336992,0.036,-0.037,-0.039,1,2,3,3
_u-7rWKnVVo,46182,517779,20341594,-0.054,-0.037,-0.039,1,4,4,2
A8MO7fkZc5o,15928,467974,81590806,-0.029,-0.037,-0.039,1,4,3,3
ZDyDpdFZHBo,18043,250222,6771963,-0.054,-0.037,-0.039,1,4,3,1
yKNxeF4KMsY,128674,5184937,961940639,-0.017,-0.036,-0.039,1,4,4,4
dvgZkm1xWPE,274154,4898139,857422697,-0.04,-0.037,-0.039,1,4,4,4
FM7MFYoylVs,272008,10586247,2195137750,-0.014,-0.036,-0.039,1,4,4,4
RB-RcX5DS5A,127572,5848549,1149756972,-0.009,-0.036,-0.039,1,4,4,4
VPRjCeoBqrI,83411,4076557,864001367,-0.002,-0.036,-0.039,1,4,4,4
1G4isv_Fylg,350332,8949646,1780069116,-0.03,-0.036,-0.039,1,4,4,4
YykjpeuMNEk,394728,14411742,1962893243,-0.03,-0.037,-0.039,1,4,4,4
3YqPKLZF_WU,433804,9120472,283252631,-0.053,-0.037,-0.039,1,4,4,4
k4V3Mo61fJM,117643,3139951,604818868,-0.029,-0.036,-0.039,1,4,4,3
CCHdMIEGaaM,21732,1068597,38158185,-0.047,-0.037,-0.039,1,4,4,4
FGBhQbmPwH8,113127,2932821,472216036,-0.034,-0.037,-0.039,1,4,4,4
a5uQMwRMHcs,88647,3297328,657690399,-0.017,-0.036,-0.039,1,3,4,3
K0HSD_i2DvA,14885,614173,53454126,-0.037,-0.037,-0.039,1,4,4,4
gAjR4_CbPpQ,72874,1464169,130079728,-0.047,-0.037,-0.039,1,4,4,3
sOS9aOIXPEk,24500,783809,84214625,-0.038,-0.037,-0.039,1,4,4,4
NF-kLy44Hls,37873,1160686,204663349,-0.028,-0.037,-0.039,1,3,3,3
HhZaHf8RP6g,7611,241798,25755530,-0.038,-0.037,-0.039,1,3,3,3
FxzBvqY5PP0,9162,216069,31348833,-0.038,-0.037,-0.039,1,4,4,4
eVTXPUF4Oz4,421464,10973576,1632351286,-0.036,-0.037,-0.039,1,4,4,4
kXYiU_JCYtU,567239,13141705,2091132108,-0.037,-0.037,-0.039,1,4,4,4
8sgycukafqQ,152702,3598974,617148545,-0.035,-0.037,-0.039,1,3,3,3
DLlF2FMv968,9669,246930,46584262,-0.031,-0.036,-0.039,1,4,4,4
4qlCC1GOwFw,35234,1209076,168791488,-0.031,-0.037,-0.039,1,4,4,4
LYU-8IFcDPw,67581,2251082,414539666,-0.024,-0.036,-0.039,1,4,4,4
OnuuYcqhzCE,28035,813834,145625762,-0.029,-0.037,-0.039,1,4,4,4
vjVkXlxsO8Q,51245,1516413,262316762,-0.029,-0.037,-0.039,1,4,4,4
Gd9OhYroLN0,98658,2347816,394090401,-0.035,-0.037,-0.039,1,4,4,4
dxytyRy-O1k,114780,2652404,374669905,-0.039,-0.037,-0.039,1,4,4,4
XFkzRNyygfk,161271,5422372,899528780,-0.027,-0.037,-0.039,1,4,4,4
u5CVsCnxyXg,44510,1543742,195076894,-0.033,-0.037,-0.039,1,4,4,4
1uYWYWPc9HU,18511,649715,96703319,-0.029,-0.037,-0.039,1,2,3,2
Bf01riuiJWA,2583,215587,14060729,-0.028,-0.037,-0.039,1,3,2,2
TNRCvG9YtYI,5372,145118,17025812,-0.04,-0.037,-0.039,1,3,3,3
GoLJJRIWCLU,8783,221436,29632363,-0.038,-0.037,-0.039,1,4,3,3
n5h0qHwNrHk,16374,437375,66570211,-0.035,-0.037,-0.039,1,3,3,2
oIFLtNYI3Ls,7459,180956,17063118,-0.044,-0.037,-0.039,1,2,2,2
BbWBRnDK_AE,4868,142288,13405516,-0.042,-0.037,-0.039,1,4,4,4
l482T0yNkeo,46571,2258956,314031896,-0.021,-0.037,-0.039,1,4,4,4
v2AC41dglnM,161851,6552436,1341262110,-0.013,-0.036,-0.039,1,4,4,4
pAgnJDJN4VA,138235,6030384,975132220,-0.019,-0.037,-0.039,1,4,4,4
Lo2qQmj0_h4,27998,1475123,306295321,0.001,-0.036,-0.039,1,4,4,4
44XYEeD1A1U,20051,972289,249208712,0.009,-0.036,-0.039,1,4,4,4
etAIpkdhU9Q,30357,1142813,267150325,-0.01,-0.036,-0.039,1,2,1,1
jsjdjWGDvFk,2309,45232,3363237,-0.048,-0.037,-0.039,1,4,4,4
xRQnJyP77tY,18449,699117,184295242,-0.004,-0.036,-0.039,1,1,0,0
j9Z39Uqybcw,359,2782,163518,-0.054,-0.037,-0.039,1,2,2,2
FrFvNphZ5BQ,2501,140759,23054296,-0.008,-0.037,-0.039,1,4,4,4
uSD4vsh1zDA,135097,3987941,695925073,-0.029,-0.037,-0.039,1,4,4,4
me19SUmWu2s,59584,1515095,195919810,-0.039,-0.037,-0.039,1,4,4,4
WpYeekQkAdc,186702,5239614,980601227,-0.029,-0.036,-0.039,1,4,4,4
OrTyD7rjBpw,71214,1660716,300805417,-0.034,-0.037,-0.039,1,4,4,4
vMLk_T0PPbk,223042,5695088,748767304,-0.039,-0.037,-0.039,1,4,4,4
ZaI2IlHwmgQ,135693,5050621,805289341,-0.025,-0.037,-0.039,1,1,2,1
H7qR7xvKFEU,1096,70615,2962464,-0.042,-0.037,-0.039,1,4,4,4
I7HahVwYpwo,74679,2232109,493490187,-0.022,-0.036,-0.039,1,4,4,4
EzKkl64rRbM,130760,6544677,1054010181,-0.014,-0.037,-0.039,1,4,4,4
Zi_XLOBDo_Y,529689,10465405,1461265003,-0.042,-0.037,-0.039,1,4,4,4
xaYSqjvZjTs,398,8546,621588,-0.048,-0.037,-0.039,1,4,4,4
oRdxUFDoQe0,277657,7266351,985694406,-0.038,-0.037,-0.039,1,4,4,4
q8w1d01Y2vY,26687,717199,88500356,-0.039,-0.037,-0.039,1,4,4,4
5X-Mrc2l1d0,90613,2475130,333048443,-0.037,-0.037,-0.039,1,4,4,4
yURRmWtbTbo,93053,2433421,375623399,-0.035,-0.037,-0.039,1,4,4,4
QNJL6nfu__Q,352124,8850182,1039562408,-0.041,-0.037,-0.039,1,4,4,4
LeiFF0gvqcc,131983,3286329,533397838,-0.035,-0.037,-0.039,1,4,4,4
HzZ_urpj4As,97549,2655830,455159687,-0.032,-0.037,-0.039,1,4,4,4
oG08ukJPtR8,54215,2189308,356932041,-0.022,-0.037,-0.039,1,3,3,2
OpQFFLBMEPI,169799,6713964,1638565930,-0.006,-0.036,-0.039,1,4,4,4
iqYK79jCssA,8585,273313,22794605,-0.042,-0.037,-0.039,1,4,4,4
XjVNlG5cZyQ,47913,1053352,243424610,-0.03,-0.036,-0.039,1,4,4,4
yTCDVfMz15M,80473,2675835,560895970,-0.02,-0.036,-0.039,1,4,4,4
FJfFZqTlWrQ,61846,2277004,448237443,-0.018,-0.036,-0.039,1,4,4,4
ClU3fctbGls,38923,1871411,349406082,-0.009,-0.036,-0.039,1,3,3,3
vGZhMIXH62M,24858,991638,88471008,-0.038,-0.037,-0.039,1,4,4,4
D2KE2a5qo0g,13985,478541,50270744,-0.037,-0.037,-0.039,1,4,4,4
NJWIbIe0N90,21002,646809,176862003,-0.012,-0.036,-0.039,1,4,4,4
zsmUOdmm02A,31391,959373,153569997,-0.031,-0.037,-0.039,1,4,4,4
S9bCLPwzSC0,239146,7369410,891852175,-0.037,-0.037,-0.039,1,4,4,4
YVkUvmDQ3HY,358517,12789508,1768286181,-0.03,-0.037,-0.039,1,4,4,4
eJO5HU_7_1w,176977,7159013,869413180,-0.03,-0.037,-0.039,1,1,1,1
8kYkciD9VjU,38906,1284271,166143724,-0.034,-0.037,-0.039,1,4,4,4
3m_QN8P93IA,439,23457,2205981,-0.03,-0.037,-0.039,1,4,4,4
gOMhN-hfMtY,210256,5654335,680672326,-0.039,-0.037,-0.039,1,4,4,4
uelHwf8o7_U,604232,13299389,2676323469,-0.033,-0.036,-0.039,1,4,4,4
r_0JjYUe5jo,401612,9671982,594363395,-0.048,-0.037,-0.039,1,4,4,4
D4hAVemuQXY,106347,2964949,512426728,-0.031,-0.037,-0.039,1,3,4,4
j5-yKhDd64s,880712,11867808,1803662892,-0.045,-0.037,-0.039,1,2,2,1
C7dPqrmDWxs,14628,754116,133898516,-0.008,-0.037,-0.039,1,4,4,4
t_Jhj-gBYCs,2471,106824,5202618,-0.045,-0.037,-0.039,1,4,4,3
ozv4q2ov3Mk,106859,4271415,710004373,-0.021,-0.037,-0.039,1,3,3,3
cKEwnhc8ItY,16957,614294,25517566,-0.048,-0.037,-0.039,1,4,4,4
eMQuofsOOzo,9304,337157,30618512,-0.039,-0.037,-0.039,1,3,3,3
qJlMkMtK7-8,36393,1125022,133638712,-0.037,-0.037,-0.039,1,3,4,2
nTOj3UQhkLA,10975,443742,37204139,-0.038,-0.037,-0.039,1,1,2,1
icoOOiSlKK0,12765,523908,13666018,-0.05,-0.037,-0.039,1,3,3,3
reYRmpiVSyA,354,79115,3725499,-0.001,-0.037,-0.039,1,4,4,4
LOtkH5amC7s,14735,480599,66032534,-0.033,-0.037,-0.039,1,3,3,3
V1Pl8CzNzCw,580330,25908311,1907896411,-0.039,-0.037,-0.039,1,4,4,4
mRXKnG2eugU,7172,460080,30996889,-0.034,-0.037,-0.039,1,4,4,4
Tx1sqYc3qas,37706,1515560,132631255,-0.038,-0.037,-0.039,1,4,4,4
IPfJnp1guPc,148542,6215225,931578331,-0.023,-0.037,-0.039,1,4,4,4
56WBK4ZK_cw,35699,2964845,671733727,0.042,-0.036,-0.039,1,4,4,4
x3bfa3DZ8JM,71289,4270581,945063695,0.013,-0.036,-0.039,1,0,1,1
by3yRdlQvzs,61192,3311211,562985097,-0.008,-0.037,-0.039,1,4,4,4
KZTbbE1sNF8,254,18452,2316078,-0.009,-0.037,-0.039,1,4,4,4
mj0XInqZMHY,54922,2800784,365529159,-0.021,-0.037,-0.039,1,4,4,4
xYtsL9znopI,28573,1811638,253245453,-0.01,-0.037,-0.039,1,4,4,4
CocEMWdc7Ck,623597,11275338,628446338,-0.051,-0.037,-0.039,1,4,4,4
j5y6xLpRwx4,163080,4035634,277421527,-0.047,-0.037,-0.039,1,4,4,4
4I25nV9hXGA,157381,3686552,574004566,-0.037,-0.037,-0.039,1,4,4,4
DUT5rEU6pqM,231680,7111175,1334009596,-0.026,-0.036,-0.039,1,4,4,4
pRpeEdMmmQ0,1309076,21716655,3744221769,-0.041,-0.037,-0.039,1,4,4,4
BPidLpADlaM,22210,587807,181372918,-0.013,-0.036,-0.039,1,4,3,4
6Mgqbai3fKo,405093,10714385,2891327318,-0.019,-0.036,-0.039,1,1,0,0
nYbcVK2jjXc,27040,482559,149975060,-0.027,-0.036,-0.039,1,4,4,4
eZGIoE8A8L4,361,7610,619798,-0.047,-0.037,-0.039,1,4,4,4
J_n01uvyhI8,34021,1113409,113010893,-0.039,-0.037,-0.039,1,3,3,3
wK-8TCDrbV8,48094,1231473,119847711,-0.043,-0.037,-0.039,1,4,4,4
9xht4JIOfjU,10901,333004,26232172,-0.044,-0.037,-0.039,1,4,4,3
IumYMCllMsM,32078,1998263,217582489,-0.021,-0.037,-0.039,1,4,4,4
