,uri,tracks_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,track_href
0,spotify:track:3v6sBj3swihU8pXQQHhDZo,3v6sBj3swihU8pXQQHhDZo,0.611,0.614,5,-8.815,0,0.0672,0.0169,0.000794,0.753,0.52,128.05,195000,4,https://api.spotify.com/v1/audio-analysis/3v6sBj3swihU8pXQQHhDZo,https://api.spotify.com/v1/tracks/3v6sBj3swihU8pXQQHhDZo
1,spotify:track:7KCWmFdw0TzoJbKtqRRzJO,7KCWmFdw0TzoJbKtqRRzJO,0.638,0.781,4,-6.848,0,0.0285,0.0118,0.00953,0.349,0.25,122.985,194641,4,https://api.spotify.com/v1/audio-analysis/7KCWmFdw0TzoJbKtqRRzJO,https://api.spotify.com/v1/tracks/7KCWmFdw0TzoJbKtqRRzJO
2,spotify:track:2CY92qejUrhyPUASawNVRr,2CY92qejUrhyPUASawNVRr,0.56,0.81,0,-8.029,0,0.0872,0.0071,7.93e-06,0.241,0.247,170.044,217573,4,https://api.spotify.com/v1/audio-analysis/2CY92qejUrhyPUASawNVRr,https://api.spotify.com/v1/tracks/2CY92qejUrhyPUASawNVRr
3,spotify:track:11BPfwVbB7vok7KfjBeW4k,11BPfwVbB7vok7KfjBeW4k,0.525,0.699,9,-4.571,1,0.0353,0.0178,8.8e-05,0.0888,0.199,92.011,443478,4,https://api.spotify.com/v1/audio-analysis/11BPfwVbB7vok7KfjBeW4k,https://api.spotify.com/v1/tracks/11BPfwVbB7vok7KfjBeW4k
4,spotify:track:3yUJKPsjvThlcQWTS9ttYx,3yUJKPsjvThlcQWTS9ttYx,0.367,0.771,9,-5.863,1,0.106,0.365,1.47e-06,0.0965,0.163,115.917,225862,4,https://api.spotify.com/v1/audio-analysis/3yUJKPsjvThlcQWTS9ttYx,https://api.spotify.com/v1/tracks/3yUJKPsjvThlcQWTS9ttYx
5,spotify:track:41MOCUNOgWtaYBFUsGnpZ5,41MOCUNOgWtaYBFUsGnpZ5,0.572,0.837,5,-7.876,1,0.0367,0.0197,0.0,0.163,0.627,100.343,166920,4,https://api.spotify.com/v1/audio-analysis/41MOCUNOgWtaYBFUsGnpZ5,https://api.spotify.com/v1/tracks/41MOCUNOgWtaYBFUsGnpZ5
6,spotify:track:5JP1cMCDxX4k2gwfSgt8Lf,5JP1cMCDxX4k2gwfSgt8Lf,0.725,0.687,3,-6.465,1,0.0596,0.694,0.000369,0.231,0.77,96.005,193133,4,https://api.spotify.com/v1/audio-analysis/5JP1cMCDxX4k2gwfSgt8Lf,https://api.spotify.com/v1/tracks/5JP1cMCDxX4k2gwfSgt8Lf
7,spotify:track:73xsMXuRNB3yqLeNc7NXBq,73xsMXuRNB3yqLeNc7NXBq,0.675,0.547,0,-4.999,1,0.0481,0.114,7.97e-05,0.0678,0.365,75.003,253000,4,https://api.spotify.com/v1/audio-analysis/73xsMXuRNB3yqLeNc7NXBq,https://api.spotify.com/v1/tracks/73xsMXuRNB3yqLeNc7NXBq
8,spotify:track:6TwrBbgTaB5gpl06YQoRKy,6TwrBbgTaB5gpl06YQoRKy,0.516,0.692,7,-4.842,1,0.0279,0.0875,0.0093,0.09,0.181,83.571,216187,4,https://api.spotify.com/v1/audio-analysis/6TwrBbgTaB5gpl06YQoRKy,https://api.spotify.com/v1/tracks/6TwrBbgTaB5gpl06YQoRKy
9,spotify:track:5SDEirHg6Y8fCYuKMnAaC5,5SDEirHg6Y8fCYuKMnAaC5,0.548,0.509,9,-7.937,1,0.0288,0.261,0.702,0.079,0.484,78.974,232333,4,https://api.spotify.com/v1/audio-analysis/5SDEirHg6Y8fCYuKMnAaC5,https://api.spotify.com/v1/tracks/5SDEirHg6Y8fCYuKMnAaC5
