id,video_num,video_id,comment_text
HyHNuVaZJ-k0,0,HyHNuVaZJ-k,1:53 who’s the guy who raps
HyHNuVaZJ-k1,0,HyHNuVaZJ-k,Molino molino para la tierra.
HyHNuVaZJ-k2,0,HyHNuVaZJ-k,Кайфостан
HyHNuVaZJ-k3,0,HyHNuVaZJ-k,Пон 😐 что не чего не пон😑
HyHNuVaZJ-k4,0,HyHNuVaZJ-k,"So your probably never gonna see this but I have like a 0.5% chance that you will and I’m gonna take it, but I learned the bass riff for feel good inc. and I’m really proud of myself, it’s not the greatest and I can’t focus on lyrics as well as the notes yet but still, anyway I’m sorry to bother you and I hope you have a fantastic day!"
yYDmaexVHic0,1,yYDmaexVHic,So good
yYDmaexVHic1,1,yYDmaexVHic,giving me literal chills
yYDmaexVHic2,1,yYDmaexVHic,1:52
yYDmaexVHic3,1,yYDmaexVHic,0:47 😰
yYDmaexVHic4,1,yYDmaexVHic,Whats this song about
qJa-VFwPpYA0,2,qJa-VFwPpYA,This jam makes me wanna dance on a yacht in Ibiza
qJa-VFwPpYA1,2,qJa-VFwPpYA,this perefect band never disapoint you
qJa-VFwPpYA2,2,qJa-VFwPpYA,This is perfect! I heard it on the radio and had to look it up right away! I could watch this video all day!
qJa-VFwPpYA3,2,qJa-VFwPpYA,metci
qJa-VFwPpYA4,2,qJa-VFwPpYA,Gorrilaz and Tame Impala is the perfect combination
04mfKJWDSzI0,3,04mfKJWDSzI,PLASTIC BEACH EL MEJOR DISCO❤
04mfKJWDSzI1,3,04mfKJWDSzI,❤❤
04mfKJWDSzI2,3,04mfKJWDSzI,My favorite song in the whole world
04mfKJWDSzI3,3,04mfKJWDSzI,this song came out the day my mom passed on. so lovely i cry each time i hear it
04mfKJWDSzI4,3,04mfKJWDSzI,This song lives rent free in my playlists!
1V_xRb0x9aw0,4,1V_xRb0x9aw,"Gorillaz - Clint Eastwood
ıllıllııllıllııllıll
0:58 ━━━━●─────────  3:29
⇆       ◁ㅤㅤ❚❚ㅤㅤ▷       ↻"
1V_xRb0x9aw1,4,1V_xRb0x9aw,THIS MUSIC IS GODDDD 👑🗿
1V_xRb0x9aw2,4,1V_xRb0x9aw,Que recuerdos 😢
1V_xRb0x9aw3,4,1V_xRb0x9aw,"😮. .  
La"
1V_xRb0x9aw4,4,1V_xRb0x9aw,https://youtube.com/shorts/-_pXl8jrzGs?si=7405zdN_bxhIcMp9
uAOR6ib95kQ0,5,uAOR6ib95kQ,"People who listen to Gorrillaz should remember to not give up, you are special and you understand yourself❤"
uAOR6ib95kQ1,5,uAOR6ib95kQ,"Man she got no cake, no chest AND no face. But she got some good music so automatic 10"
uAOR6ib95kQ2,5,uAOR6ib95kQ,He has the voice of eminem XD
uAOR6ib95kQ3,5,uAOR6ib95kQ,Noodle just noodling around 😂
uAOR6ib95kQ4,5,uAOR6ib95kQ,I am coming.
BONNm0F7Tto0,6,BONNm0F7Tto,Shane Gillis looking ass boy
BONNm0F7Tto1,6,BONNm0F7Tto,Ever since I discovered this tune it's been on repeat. Good fucking shit Dom Dolla!.
BONNm0F7Tto2,6,BONNm0F7Tto,I heard this live before it was release every time the beat drops I thought I was getting abducted by aliens :)
BONNm0F7Tto3,6,BONNm0F7Tto,A sea of useless videos
BONNm0F7Tto4,6,BONNm0F7Tto,Grows bananas
f8NwLXYIHS40,7,f8NwLXYIHS4,This hit different
f8NwLXYIHS41,7,f8NwLXYIHS4,I Love this song
f8NwLXYIHS42,7,f8NwLXYIHS4,Best song it put me to sleep
f8NwLXYIHS43,7,f8NwLXYIHS4,i love this song sm that i dont even need lyrics and i can sing the whole song❤️
f8NwLXYIHS44,7,f8NwLXYIHS4,Brooo💗😵‍💫
