id,video_id,title,channel_title,description,comment_count,like_count,view_count
0,HyHNuVaZJ-k,Gorillaz - Feel Good Inc. (Official Video),Gorillaz,"Official HD Video for Gorillaz' fantastic track Feel Good Inc.

Follow Gorillaz online:
http://gorillaz.com
http://facebook.com/Gorillaz
http://twitter.com/GorillazBand
http://instagram/Gorillaz

For more information on Gorillaz don't forget to check out the official website at http://www.gorillaz.com",174044,6709697,770232747
1,yYDmaexVHic,Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video),Gorillaz,"The official video for Gorillaz - Rhinestone Eyes

Rhinestone Eyes is taken from the 2010 album Plastic Beach including the singles Rhinestone Eyes, Stylo, Superfast Jellyfish and On Melancholy Hill.

Follow Gorillaz online:
https://instagram.com/gorillaz​ 
https://tiktok.com/@gorillaz 
https://twitter.com/gorillaz​ 
https://facebook.com/gorillaz​ 
https://gorillaz.com

#Gorillaz #RhinestoneEyes #PlasticBeach",34003,1263022,82788719
2,qJa-VFwPpYA,Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser),Gorillaz,"Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser)

Cracker Island Out Now: https://gorillaz.com 
Listen to New Gold: https://gorill.az/newgold
Join The Last Cult: https://thelastcult.org
Listen to Gorillaz: https://gorill.az/listen
Shop Gorillaz: https://store.gorillaz.com/
Tour gorillaz.com/tour

Follow Gorillaz: 
https://instagram.com/gorillaz​
https://tiktok.com/@gorillaz
https://twitter.com/gorillaz​
https://facebook.com/gorillaz​
https://gorillaz.com

Director: Jamie Hewlett
Co-Direction: Swear Studio, Steve Gallagher
Exec Producers: Jamie Hewlett & Damon Albarn
Producer: Alexa Pearson
Video Design: Catherine Woodhouse
Video Design: SHOP

#newgold #crackerisland #gorillaz #newmusic #newalbum",7885,333560,13170805
3,04mfKJWDSzI,Gorillaz - On Melancholy Hill (Official Video),Gorillaz,"Follow Gorillaz online:
http://gorillaz.com 
http://facebook.com/Gorillaz
http://twitter.com/GorillazBand
https://instagram.com/gorillaz

Music video by Gorillaz performing On Melancholy Hill. (P) 2010 The copyright in this audiovisual recording is owned by Parlophone Records",56122,1899083,226370800
4,1V_xRb0x9aw,Gorillaz - Clint Eastwood (Official Video),Gorillaz,"The official music video for Gorillaz - Clint Eastwood

Taken from Gorillaz debut Studio Album 'Gorillaz’ released in 2001, which features the singles Clint Eastwood, 19-2000, Rock The House & Tomorrow Comes Today.

Pre-order Cracker Island album: https://gorillaz.com 

Subscribe to the Gorillaz channel for all the best and latest official music videos, behind the scenes and live performances here – https://bit.ly/subscribegorillaz

Listen to more from the album 'Gorillaz' here
https://www.youtube.com/playlist?list=OLAK5uy_nCZqWcwZb_UQ0lmFgYUHiywAlyKVBP_uA

See more official videos from Gorillaz here: 
https://www.youtube.com/playlist?list=PLtKoi37ubAW01MrQNue2ekVg5k9jrlLyo

Follow Gorillaz:
https://instagram.com/gorillaz 
https://tiktok.com/@gorillaz 
https://twitter.com/gorillaz 
https://facebook.com/gorillaz 
https://gorillaz.com

LYRICS:
I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless but not for long
The future is coming on
I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless but not for long
The future is coming on
It's coming on, it's coming on
It's coming on, it's coming on

Finally someone let me out of my cage
Now time for me is nothin', 'cause I'm countin' no age
Now I couldn't be there, now you shouldn't be scared
I'm good at repairs, and I'm under each snare

Intangible (ah y'all), bet you didn't think
So I command you to, panoramic view (you)
Look, I'll make it all manageable
Pick and choose, sit and lose all you different crews
Chicks and dudes, who you think is really kicking tunes?

Picture you getting down in a picture tube
Like you lit the fuse, you think it's fictional? Mystical? Maybe
Spiritual hero who appears on you to clear your view
When you're too crazy

Lifeless to those the definition for what life is
Priceless to you because I put you on the hype shift
Did you like it? Gut smokin' righteous with one toke
You're psychic among knows possess you with one go

I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless but not for long
The future is coming on

I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless but not for long
The future (that's right) is coming on
It's coming on, it's coming on
It's coming on, it's coming on

The essence, the basics without did you make it?
Allow me to make this childlike in nature
Rhythm, you have it or you don't
That's a fallacy, I'm in them
Every sprouting tree, every child of peace
Every cloud and sea, you see with your eyes

I see destruction and demise
Corruption in the skies (that's right)
From this fucking enterprise, now I'm sucked into your lies
Through Russel, not his muscles
But percussion he provides

For me as a guide, y'all can see me now
'Cause you don't see with your eye
You perceive with your mind, that's the inner (fuck 'em)
So I'mma stick around with Russ and be a mentor

Bust a few rhymes so motherfuckers remember
Where the thought is, I brought all this
So you can survive when law is lawless (right here)
Feeling sensations that you thought was dead
No squealing and remember that it's all in your head

I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless but not for long
The future is coming on

I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless but not for long
My future is coming on
It's coming on, it's coming on
It's coming on, it's coming on

My future
It's coming on, it's coming on, it's coming on
It's coming on, it's coming on, my future
It's coming on, it's coming on, it's coming on
It's coming on, it's coming on, my future
It's coming on, it's coming on, it's coming on

My future
It's coming on, it's coming on, it's coming on
My future
It's coming on, it's coming on, it's coming on
My future

About Gorillaz:
Virtual band Gorillaz is singer 2D, bassist Murdoc Niccals, guitarist Noodle and drummer Russel Hobbs. Created by Damon Albarn and Jamie Hewlett, their acclaimed eponymous debut album was released in 2001. The BRIT and Grammy Award winning band’s subsequent albums are Demon Days (2005), Plastic Beach (2010), The Fall (2011), Humanz (2017) and The Now Now (2018). A truly global phenomenon, Gorillaz have achieved success in entirely ground-breaking ways, touring the world from San Diego to Syria, winning numerous awards including the coveted Jim Henson Creativity Honor.

* The band are recognised by The Guinness Book Of World Records as the planet’s Most Successful Virtual Act.

#Gorillaz #ClintEastwood",162538,6859069,702129404
5,uAOR6ib95kQ,Gorillaz - DARE (Official Video),Gorillaz,"Follow Gorillaz online:
http://gorillaz.com 
http://facebook.com/Gorillaz
http://twitter.com/GorillazBand
https://instagram.com/gorillaz

Stream Gorillaz on Spotify: http://bit.ly/1kvIyPR

Music video by Gorillaz performing DARE. (P) 2005 The copyright in this sound recording is owned by Parlophone Records",73586,1991277,278581432
6,BONNm0F7Tto,"Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video)",Dom Dolla,"Gorillaz 'New Gold' ft. Tame Impala, Bootie Brown (Dom Dolla Remix) 

Live @ Shrine Expo Hall, Los Angeles, Oct 7th 2022

Stream/Download New Gold (Dom Dolla Remix): https://DomDolla.lnk.to/NewGoldRemix

Follow and listen to more Dom: https://DomDolla.lnk.to/FollowYo
Facebook: https://www.facebook.com/domdollamusic/
Twitter: https://twitter.com/domdolla
Instagram: https://www.instagram.com/domdolla/
Soundcloud: https://soundcloud.com/domdolla
Beatport: https://www.beatport.com/artist/dom-d...

Camera Operators:
Trevor Thompson
Jonathan Marroquin
Gabe Tiano
Justin Erougian

Editor:
Shevin Dissanayake

Lighting / Production:
Steve Lieberman - Lighting Design / Operation
Nathan Aveling - Laser Design / Operation
Daniel Aldaz - VJ

#DomDolla #Gorillaz #TameImpala #BootieBrown #Remix",495,40714,3098328
7,f8NwLXYIHS4,Gorillaz - She's My Collar [HQ],SalvaMuñox,"𝐁̲𝐎̲𝐍̲𝐔̲𝐒̲:̲ Hu̳ma̳n̳z [̲̠̲𝐃̲̠̲𝐄̲̠̲𝐅̲̠̲𝐈̲̠̲𝐍̲̠̲𝐈̲̠̲𝐓̲̠̲𝐈̲̠̲𝐕̲̠̲𝐄̲̠̲ ̲̠𝐄̲̠̲𝐃̲̠𝐈̲̠̲𝐓̲̠̲𝐈̲̠𝐎̲̠̲𝐍̲̠]̲̠̲
https://www.youtube.com/watch?v=bq05Rk3hGuo&list=PLWlUUT3f92cuEy6tmhRZmhQ6rwcV7cG1z

Other:

Blur - The Ballad of Darren: https://youtu.be/hIPKo1XkFF0
Radiohead - In Rainbows: https://youtu.be/HLZZdz4pn1o
Blur - 13: https://youtu.be/V5vpvMRWeNE
Blur - The Great Escape: https://youtu.be/hArxr7Ezm7A
Blur - Blur: https://youtu.be/3oeU06DP4Ao
Björk - Post: https://youtu.be/p06xDUNTcPY
Radiohead - The Bends: https://youtu.be/DAIbIAy3Fg8
Radiohead - OK Computer [Disc 1 & 2]: https://youtu.be/_XuGRFH_-Cs y https://youtu.be/oQ96B3dc55U
Radiohead - Kid A: https://youtu.be/4CiVzb7Ex4Y
Radiohead - A Moon Shaped Pool: https://youtu.be/L75AmePvaJg
Kendrick Lamar - good kid, m.A.A.d. city: https://youtu.be/debtEbNat6c
The Strokes - First Impressions of Earth [Definitive Tracklist]: https://youtu.be/g0Iewh4w1oI
Radiohead - Hail To The Thief: https://youtu.be/T6mInSsVLOc
Nas - Magic 2: https://youtu.be/AVOH8yEexAE
Björk - Homogenic: https://youtu.be/FdGVqlq1nE4
Kendrick Lamar - Mr. Morale & The Big Steppers: https://youtu.be/eFceNDaje10 & https://youtu.be/tw0a3KIuoMo
Kendrick Lamar - To Pimp a Butterfly: https://youtu.be/au-acGJ387s
Manic Street Preachers - The Holy Bible: https://youtu.be/tettEqBvpqc",362,25377,1524459
8,S03T47hapAc,Gorillaz - Cracker Island ft. Thundercat (Official Video),Gorillaz,"Listen to Cracker Island: https://gorillaz.lnk.to/CrackerIsland 
Join The Last Cult: https://thelastcult.org
Listen to Gorillaz: https://gorill.az/listen
Shop Gorillaz: https://store.gorillaz.com/

Follow Gorillaz: 
https://instagram.com/gorillaz​
https://tiktok.com/@gorillaz
https://twitter.com/gorillaz​
https://facebook.com/gorillaz​
https://gorillaz.com

#crackerisland #gorillaz #newmusic #newmusicvideo

Cracker Island

On cracker Island it was born
To the collective of the dawn
They were planting seeds at night

To grow a made up paradise
Where the truth was auto tuned (forever cult)
But it’s sadness I consumed (forever cult)
Into my formats everyday (forever cult) 
in end I had to pay (what world is this)
In the end I had to pay (I purged my soul)
In the end I had to pay (I drank to riot) 
Nothing more to say (I drank to riot)
 
They taught themselves to be occult
They didn’t know it’s many strategies x 2 
Fantasies 

What world is this? x2

On cracker island it was raised
By the collective from the grave
It only came out at night 
It ate up their paradise (paradise)
Where the truth was auto tuned (forever cult)
And it’s sadness I consumed (forever cult)
Into my formats everyday (forever cult)
In the end I had to pay (what world is this)
Out there on my silverlake (I was not there)
In the end it will be great (beneath the hills)
I’m like a ship between the tides (I saw myself)
I held on I survived (there in the void)

They taught themselves to be occult
They didn’t know it’s many strategies x2
Fantasy

On cracker island It will die (forever cult)
Join the collective in the sky (forever cult)
And on a shining boat of light (forever cult)

Go up to paradise (what world is this) 
Where the truth is autotuned (I purged my soul)
And it’s sadness I consume (I drank to riot)
Into my formats everyday (I drank to riot)
In the end I had to pay (forever cult)

In the end I’ll have to pay (forever cult)
In the end I’ll be ok (forever cult)

Nothing more to say x3

Credits:
Directors: Jamie Hewlett & Fx Goby 
Executive Producers: Jamie Hewlett & Damon Albarn
Jamie Hewlett and Damon Albarn are managed by Eleven Management 
A Nexus Studios & Gorillaz Production 

Executive Producers for Nexus: Charlotte Bavasso & Chris O'Reilly, Mike Bell 
CG Supervisors: Dave Hunt & Florian Caspar
VFX Supervisor & Compositing Lead: Germán Díez 
DP: Ricky Patel
Editor: Dave Slade 
Producer: Jo Bierton 
Production Manager: Ruyi Meer 
Production Coordinator: Tyler Antin 
Production Assistant: Megan Silvester 
Storyboard Artist: Rodrigo Aquino Verdun
Character Modeller: Andrew Hickinbottom
3D Generalist: Andy Spence 
Rigging: Niko Rossi, Nayla Nassar
Modeller & Texture Artist: Catarina Loja
Pipeline TD: Tom Melson 
Animators: Fabrice Fiteni, Marylou Mao, Tom Lowe, Fatih Dogan
Lead Lighter: Carl Kenyon 
Lighting & Rendering: Pawel Adamiec, Rodi Kaya, Daniel Prince
Lead Compositor; Sacha Danjou 
Compositors: Gareth Tredrea, Sander Saks, Hiral Kawa, Alexey Viatvud, Gourav Kumar, Simran Arora, Osman Baloglu
VFX Editors: Andrea Zantiras, Zaki Fulford
Designer & Matte Painters: Milan Baulard, Callum Strachan, Paul Campion
Designer: Ieuan Lewis 
2D VFX ANIMATOR: Bethany Levy
3D VFX: Paul Mitcheson
Motion Graphics Designer: Nathan Bayliss
Head of Resources: Natalie Busuttil 
Resource Manager: Gigi Kohut 
Resource Coordinator: Meg Dupont
Marketing & PR: Valentina Tarelli, Nancy Edmondson, Isobel Wise, Steph Anjo

Archive Producer: Lisa Savage 

Sound FX Designer: JM Finch 

Grade Company: Black Kite Studios

Service Production Company - Tuna Icon

Hollywood® is the trademark and intellectual property of Hollywood Chamber of Commerce. All Rights Reserved.
 
CAST:
2D, Noodle, Russel Hobbs, Murdoc Niccals, Thundercat

Supporting cast:
Milica Tepavac, Sonja Vukicevic, Ivan Tomic, Rudolf Tsabalala, Vukasin Stanic, Ella Landesman, Sippa Hengprathom, Nani Pavlovic, Tea Simic, Snezana Radivojsa, Rajesh Kalhan, Roda Adan

Spanish Service Co: AzuL 

Eleven Management are:
Niamh Byrne, Regine Moylett, Tanyel Vahdettin, Stars Redmond, Astrid Ferguson, Gabriele Power, Ellie Nolan, Aston New, Katherine Nash, Suzi Grossman, Selena Dion, Clare Moss, Hannah Norris

With thanks to:
Thundercat, Dom Smith, Alison Smith, Josh Berman",21970,887561,37482210
9,cLnkQAeMbIM,Gorillaz - Dirty Harry (Official Video),Gorillaz,"Follow Gorillaz online:
http://gorillaz.com 
http://facebook.com/Gorillaz
http://twitter.com/GorillazBand
https://instagram.com/gorillaz

Stream Gorillaz on Spotify: http://bit.ly/1kvIyPR 

Music video by Gorillaz performing Dirty Harry. (P) 2005 The copyright in this audiovisual recording is owned by Parlophone Records",39856,1490820,164134468
