track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,duration_min,labels
7KCWmFdw0TzoJbKtqRRzJO,0.638,0.781,4,-6.848,0,0.0285,0.0118,0.00953,0.349,0.25,122.985,4,3.2440166666666665,1
2CY92qejUrhyPUASawNVRr,0.56,0.81,0,-8.029,0,0.0872,0.0071,7.93e-06,0.241,0.247,170.044,4,3.626216666666666,1
3yUJKPsjvThlcQWTS9ttYx,0.367,0.771,9,-5.863,1,0.106,0.365,1.47e-06,0.0965,0.163,115.917,4,3.764366666666666,1
41MOCUNOgWtaYBFUsGnpZ5,0.572,0.837,5,-7.876,1,0.0367,0.0197,0.0,0.163,0.627,100.343,4,2.782,1
5JP1cMCDxX4k2gwfSgt8Lf,0.725,0.687,3,-6.465,1,0.0596,0.694,0.000369,0.231,0.77,96.005,4,3.2188833333333333,1
73xsMXuRNB3yqLeNc7NXBq,0.675,0.547,0,-4.999,1,0.0481,0.114,7.97e-05,0.0678,0.365,75.003,4,4.216666666666667,1
6TwrBbgTaB5gpl06YQoRKy,0.516,0.692,7,-4.842,1,0.0279,0.0875,0.0093,0.09,0.181,83.571,4,3.6031166666666654,0
5SDEirHg6Y8fCYuKMnAaC5,0.548,0.509,9,-7.937,1,0.0288,0.261,0.702,0.079,0.484,78.974,4,3.872216666666666,0
5ZWMcomAviWuMGZWbBxmGd,0.817,0.695,8,-7.391,1,0.0497,0.0299,0.00183,0.0956,0.404,91.971,4,4.440216666666666,1
1zDHb1p9J2SUVGqttkIwlW,0.807,0.709,1,-7.476,0,0.193,0.626,0.0,0.296,0.537,96.006,4,3.875,1
03ibPDUYi7g1vOC9eJGrsy,0.818,0.76,7,-4.273,1,0.0673,0.049,4.74e-06,0.112,0.508,85.996,4,3.801783333333333,1
1Yt78wXs4KUeMrOxZu8dQT,0.774,0.665,10,-5.637,0,0.0721,0.00401,0.0,0.455,0.512,97.522,4,3.36545,1
4grBhZ71RTsPWgykqlUBFA,0.657,0.813,10,-4.253,1,0.0431,0.187,0.0,0.112,0.864,105.64,4,2.977333333333333,1
4KSQ9el0QgTKKie5oCtKLe,0.608,0.945,11,-3.858,1,0.0483,0.00433,0.0,0.0773,0.682,115.933,4,3.00355,2
6P0dI2yAf2cmg4UrCcStwE,0.588,0.894,3,-5.564,1,0.0403,0.000176,0.23,0.141,0.552,123.031,4,3.9642166666666654,2
2RKmGDTq840oLpKC0WOaCr,0.629,0.855,10,-5.593,1,0.0568,0.108,0.0,0.198,0.963,96.039,4,3.0733333333333333,1
4R06uQw0yBQXWmatdIOlch,0.523,0.544,7,-6.585,0,0.0578,0.465,0.0,0.121,0.268,75.053,4,4.50425,0
2G1T3kqYNyhMjXbqZ4e3vX,0.609,0.861,4,-5.26,1,0.0927,0.00599,0.0,0.0924,0.53,139.914,4,3.39445,2
6t6bOh1jmVcRke7rmzAegb,0.616,0.657,7,-5.375,1,0.0649,0.117,0.0,0.11,0.927,79.919,4,3.4177666666666666,1
2r12KCHNv0p7JQJsGt3vYK,0.604,0.806,7,-6.416,0,0.0467,0.0126,0.00803,0.176,0.0894,131.95,4,3.6657166666666665,2
4sofJiicQwKsRo3S1vpt39,0.744,0.816,11,-3.933,1,0.0372,0.144,8.51e-06,0.0902,0.748,120.062,4,2.4,1
2dyrLrVopYKGc3H9oOYSmZ,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.262,0.468,124.076,4,2.9838666666666667,2
5FDdviWQzhw7NWH2TiDl9d,0.7,0.782,3,-4.631,1,0.0542,0.449,0.0,0.143,0.68,124.969,4,2.8316833333333333,1
0kJUHCpOr6CFU15kEKAgVF,0.787,0.462,8,-7.985,1,0.0908,0.724,0.000187,0.102,0.554,86.994,4,3.287433333333333,0
5WXSmZUK7MAtkcKoBPFyHm,0.456,0.872,4,-5.87,1,0.0434,0.00264,0.000529,0.176,0.69,157.678,4,3.0095,2
3oqztHfES8jYMyrxPMzWwc,0.703,0.624,7,-6.228,1,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,4,3.2531833333333333,1
1zZIVe9x0JhdhpuQjLTjIM,0.567,0.542,2,-6.64,1,0.0309,0.309,0.000342,0.0734,0.229,125.16,4,4.23115,0
3tzlgaWjqZJX0fq2hiQW62,0.57,0.368,0,-9.128,1,0.0329,0.0514,0.0,0.108,0.136,139.937,4,4.444466666666667,0
1i6gUYGzJF7XMukcwSwJ7k,0.704,0.686,7,-5.096,1,0.0439,0.733,4.8e-05,0.0977,0.427,101.05,4,4.409933333333333,1
